Year,Lake_Name,Town,Ice_Out
2010,Alamoosook Lake,E. Orland,3/18/2010
2010,Bauneg Beg Pond,Sanford/N Berwick,3/20/2010
2010,Big Indian Lake,St. Albans,3/24/2010
2010,Big Lake,Princeton,3/24/2010
2010,Big Wood Lake,Jackman,4/13/2010
2010,Branch Lake,Ellsworth,3/20/2010
2010,Chemo Pond,Eddington,3/20/2010
2010,Chickawaukie Pond,Rockland,3/14/2010
2010,China Lake,China,3/21/2010
2010,Clary Lake,Jefferson,3/16/2010
2010,Cobbossee Lake,Monmouth,3/18/2010
2010,Cold Stream Pond,Enfield,3/26/2010
2010,Cross Lake,Cross Lake Twp.,4/21/2010
2010,Crystal Lake,Gray,3/19/2010
2010,Damariscotta Lake,Jefferson,3/18/2010
2010,Eagle Lake,Bar Harbor,3/23/2010
2010,Eagle Lake,Eagle Lake,4/20/2010
2010,East Mushquash,Topsfield,4/3/2010
2010,East Pond,Smithfield,3/20/2010
2010,Echo Lake,Fayette,3/24/2010
2010,Eddington Pond,Eddington,3/20/2010
2010,Field's Pond,Orrington,3/20/2010
2010,Great Moose Lake,Hartland,3/24/2010
2010,Great Pond,Belgrade,3/20/2010
2010,Green Lake,Dedham/Ellsworth,3/24/2010
2010,Highland Lake,Windham,3/14/2010
2010,Lake Auburn,Auburn,3/22/2010
2010,Lake St. George,Liberty,3/26/2010
2010,Long Lake,St. Agatha,4/23/2010
2010,Long Pond,Belgrade,3/20/2010
2010,Lower Narrows Pond,Winthrop,3/21/2010
2010,Lucerne Lake,Dedham,3/24/2010
2010,Maranacook Lake,Winthrop/Readfield,3/21/2010
2010,Mattanawcook Lake,Lincoln,3/26/2010
2010,Messalonskee Lake,Oakland,3/20/2010
2010,Millinocket Lake,Millinocket,4/9/2010
2010,Monson Pond,Monson,4/10/2010
2010,Moosehead Lake,Greenville,4/15/2010
2010,Mooselookmeguntic Lake,Oquossoc,4/18/2010
2010,Morrill Pond,Hartland,3/23/2010
2010,North Pond,Smithfield,3/20/2010
2010,Panther Pond,Raymond,3/18/2010
2010,Parker Pond,Vienna,3/20/2010
2010,Pemadumcook Lakes,Millinocket,4/9/2010
2010,Pemaquid Pond,Nobleboro,3/18/2010
2010,Pushaw Lake,Orono,3/25/2010
2010,Rangeley Lake,Rangeley,4/18/2010
2010,Sabattus Pond,Sabattus,3/15/2010
2010,Salmon/McGraw Lakes,Oakland,3/20/2010
2010,Schoodic Lake,Lake View Plt.,3/26/2010
2010,Sebago Lake,Sebago,3/3/2010
2010,Sebasticook Lake,Newport,3/20/2010
2010,Sebec Lake,Dover-Foxcroft,4/3/2010
2010,Sheepscot Lake,Palermo,3/23/2010
2010,Square Lake,Square Lake Twp.,4/26/2010
2010,St. Froid Lake,Winterville Plt.,4/20/2010
2010,Swan Lake,Swanville,3/13/2010
2010,Thompson Lake,Oxford,3/24/2010
2010,Togus Pond,Augusta,3/17/2010
2010,Unity Pond,Unity,3/18/2010
2010,Upper/Lower Range Pond,Poland,3/20/2010
2010,Watchic Lake,Standish,3/14/2010
2010,Webb Lake,Weld,4/13/2010
2010,Wesserunsett Lake,Madison,3/23/2010
2010,Wesserunsett Lake,Madison,3/23/2010
2010,West Grand Lake,Grand Lake Str.,4/5/2010
